cve_munedo,Periodo,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados
6005,202005,6,7,0,0,0,0,0,7
6005,202006,2,6,0,2,0,1,2,9
6005,202007,25,20,0,3,0,10,5,34
6005,202008,42,32,0,3,4,11,8,76
6005,202009,1,0,3,0,1,1,8,77
6006,202005,0,4,0,0,0,0,0,0
6006,202006,5,7,0,3,0,2,3,5
6006,202007,12,11,0,0,0,7,3,17
6006,202008,24,16,0,1,2,8,4,41
6006,202009,0,1,2,0,0,0,4,41
6007,202003,2,11,0,0,0,2,0,2
6007,202004,17,28,0,7,0,10,7,19
6007,202005,92,59,2,20,0,42,27,111
6007,202006,297,107,0,43,0,111,70,408
6007,202007,375,209,2,45,0,135,115,783
6007,202008,422,215,7,36,79,129,151,1205
6007,202009,6,4,24,0,6,6,151,1211
6008,202004,1,0,0,0,0,1,0,1
6008,202006,0,2,0,0,0,0,0,1
6008,202007,9,6,0,3,0,2,3,10
6008,202008,15,3,0,0,0,2,3,25
6008,202009,0,0,2,0,0,0,3,25
6009,202002,0,1,0,0,0,0,0,0
6009,202003,0,15,0,0,0,0,0,0
6009,202004,1,28,0,0,0,1,0,1
6009,202005,13,45,0,1,0,4,1,14
6009,202006,73,49,1,11,0,37,12,87
6009,202007,361,140,1,51,0,144,63,448
6009,202008,241,154,2,26,27,53,89,689
6009,202009,3,4,11,0,3,3,89,692
6010,202001,0,1,0,0,0,0,0,0
6010,202003,0,11,0,0,0,0,0,0
6010,202004,5,26,0,0,0,2,0,5
6010,202005,9,67,0,0,0,6,0,14
6010,202006,36,70,0,2,0,18,2,50
6010,202007,223,206,2,20,0,102,22,273
6010,202008,418,247,14,23,78,144,45,691
6010,202009,5,6,22,0,5,5,45,696
7001,202004,0,1,0,0,0,0,0,0
7001,202005,0,1,0,0,0,0,0,0
7001,202006,3,1,0,0,0,1,0,3
7001,202007,2,1,1,0,0,1,0,5
7001,202008,5,8,0,0,1,1,0,10
7002,202004,0,1,0,0,0,0,0,0
7002,202005,14,2,0,5,0,2,5,14
7002,202006,4,1,0,2,0,0,7,18
7002,202007,3,1,0,1,0,0,8,21
7002,202008,2,7,0,1,0,0,9,23
7003,202005,0,2,0,0,0,0,0,0
7003,202006,8,1,0,2,0,0,2,8
7003,202007,2,0,1,0,0,0,2,10
7003,202008,0,1,1,0,0,0,2,10
7004,202004,3,1,0,1,0,3,1,3
7004,202005,3,3,0,0,0,0,1,6
7004,202006,16,5,0,2,0,2,3,22
7004,202007,9,5,2,0,0,4,3,31
7004,202008,1,1,1,0,0,0,3,32
7005,202004,0,1,0,0,0,0,0,0
7005,202006,2,0,0,1,0,1,1,2
7005,202007,0,2,0,0,0,0,1,2
7005,202008,0,8,0,0,0,0,1,2
7006,202005,0,3,0,0,0,0,0,0
7006,202006,4,0,0,0,0,0,0,4
7006,202007,1,2,0,0,0,0,0,5
7006,202008,3,3,0,0,0,3,0,8
7007,202008,0,7,0,0,0,0,0,0
7008,202003,0,1,0,0,0,0,0,0
7008,202005,1,1,0,0,0,0,0,1
7008,202006,0,1,0,0,0,0,0,1
7008,202007,5,3,0,0,0,2,0,6
7008,202008,3,4,0,0,0,2,0,9
7008,202009,0,2,0,0,0,0,0,9
7009,202003,0,1,0,0,0,0,0,0
7009,202004,3,8,0,1,0,2,1,3
7009,202005,28,6,0,4,0,20,5,31
7009,202006,19,3,0,4,0,9,9,50
7009,202007,8,4,0,3,0,0,12,58
7009,202008,6,2,0,0,0,0,12,64
7010,202006,1,0,0,1,0,0,1,1
7010,202008,0,3,0,0,0,0,1,1
7011,202006,2,0,0,1,0,0,1,2
7011,202008,1,3,0,0,0,0,1,3
