cve_municipio,Municipio,cve_estado,Estado,CaptacionFeb20,CaptacionAgo20,CrecCaptacion2020,VarCaptacion2020,CarteraFeb20,CarteraAgo20,CrecCartera2020,VarCartera2020,poblacion,defuncionesAgo20,defuncionesTotales20,confirmadosAgo20,confirmadosTotales20,confirmados,negativos,sospechoso,defuncion,activos,Activos_periodo,Muerte_acumuladas,Confirmados_acumulados,Activos_100_mil_hab,Casos_100_mil_hab,Muertes_100_mil_casos
5037.0,VILLA UNION,5.0,COAHUILA,0.06,0.07,0.010000000000000009,16.666666666666675,16.39,15.35,-1.040000000000001,-6.345332519829173,6859.0,3.0,4.0,125.0,184.0,51.0,16.0,15.0,1.0,2.0,3.0,3.0,114.0,43.738154249890655,1662.0498614958449,2631.578947368421
5038.0,ZARAGOZA,5.0,COAHUILA,79.18,90.65,11.469999999999999,14.485981308411212,41.59,36.03,-5.560000000000002,-13.368598220726135,14203.0,4.0,7.0,80.0,123.0,42.0,4.0,1.0,2.0,0.0,0.0,4.0,79.0,0.0,556.2205167922269,5063.291139240506
6001.0,ARMERIA,6.0,COLIMA,26.53,34.74,8.21,30.946098756125153,70.11,66.41,-3.700000000000003,-5.277421195264587,32363.0,16.0,23.0,68.0,113.0,27.0,16.0,3.0,6.0,1.0,5.0,16.0,66.0,15.44974198930878,203.93659425887589,24242.424242424244
6002.0,COLIMA,6.0,COLIMA,12260.45,14470.15,2209.699999999999,18.02299263077618,1031.72,948.66,-83.06000000000006,-8.050633892916693,169188.0,83.0,164.0,976.0,1844.0,548.0,309.0,13.0,43.0,115.0,179.0,84.0,925.0,105.79946568314539,546.729082440835,9081.081081081082
6003.0,COMALA,6.0,COLIMA,1.69,1.79,0.10000000000000009,5.9171597633136175,46.33,40.82,-5.509999999999998,-11.892941938268942,23902.0,8.0,14.0,41.0,77.0,20.0,20.0,0.0,2.0,6.0,8.0,8.0,42.0,33.47000251025019,175.71751317881348,19047.619047619046
6004.0,COQUIMATLAN,6.0,COLIMA,0.41,0.43,0.020000000000000018,4.878048780487809,61.57,50.5,-11.07,-17.97953548806237,22167.0,8.0,17.0,75.0,137.0,36.0,28.0,1.0,3.0,3.0,9.0,8.0,74.0,40.600893219650835,333.82956647268463,10810.810810810812
6005.0,CUAUHTEMOC,6.0,COLIMA,288.76,404.87,116.11000000000001,40.20986286189223,108.01,101.09,-6.920000000000002,-6.406814183871868,32829.0,8.0,22.0,80.0,161.0,42.0,32.0,0.0,3.0,4.0,11.0,8.0,76.0,33.506960309482466,231.50263486551523,10526.315789473683
6006.0,IXTLAHUACAN,6.0,COLIMA,0.05,0.05,0.0,0.0,11.11,10.26,-0.8499999999999996,-7.650765076507648,6078.0,5.0,10.0,43.0,102.0,24.0,16.0,0.0,1.0,2.0,8.0,4.0,41.0,131.62224415926292,674.5640013162224,9756.09756097561
6007.0,MANZANILLO,6.0,COLIMA,5221.78,5651.95,430.1700000000001,8.237995472808123,1084.0,1063.77,-20.230000000000018,-1.866236162361623,203306.0,151.0,250.0,1225.0,1909.0,422.0,215.0,7.0,36.0,79.0,129.0,151.0,1205.0,63.45115245000147,592.702625598851,12531.120331950207
6008.0,MINATITLAN,6.0,COLIMA,23.62,26.68,3.0599999999999987,12.95512277730737,20.58,22.12,1.5400000000000027,7.48299319727892,9670.0,4.0,6.0,25.0,42.0,15.0,3.0,0.0,0.0,0.0,2.0,3.0,25.0,20.682523267838675,258.5315408479835,12000.0
6009.0,TECOMAN,6.0,COLIMA,2334.7,2750.82,416.12000000000035,17.82327493896434,266.71,257.35,-9.359999999999957,-3.5094297176708644,134631.0,93.0,118.0,701.0,1063.0,241.0,154.0,2.0,26.0,27.0,53.0,89.0,689.0,39.36686201543478,511.76920620065215,12917.271407837447
6010.0,VILLA DE ALVAREZ,6.0,COLIMA,1754.22,1813.21,58.99000000000001,3.36274811597177,822.06,757.24,-64.81999999999994,-7.885069216358898,151019.0,45.0,110.0,737.0,1514.0,418.0,247.0,14.0,23.0,78.0,144.0,45.0,691.0,95.35224044656633,457.5583204762315,6512.301013024602
7001.0,ACACOYAGUA,7.0,CHIAPAS,3.85,3.69,-0.16000000000000014,-4.155844155844157,18.24,17.37,-0.8699999999999974,-4.769736842105255,19856.0,1.0,1.0,10.0,10.0,5.0,8.0,0.0,0.0,1.0,1.0,0.0,10.0,5.036261079774375,50.36261079774375,0.0
7002.0,ACALA,7.0,CHIAPAS,26.25,28.58,2.3299999999999983,8.876190476190459,54.89,57.31,2.4200000000000017,4.4088176352705455,34494.0,9.0,9.0,24.0,24.0,2.0,7.0,0.0,1.0,0.0,0.0,9.0,23.0,0.0,66.67826288629907,39130.434782608696
7003.0,ACAPETAHUA,7.0,CHIAPAS,288.25,314.13,25.879999999999995,8.978317432784033,40.47,40.41,-0.060000000000002274,-0.1482579688658281,31069.0,2.0,2.0,11.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,32.186423766455306,20000.0
